date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity calories,sleep_start_time,sleep_end_time,minutes_asleep,minutes_awake,number_of_awakenings,time_in_bed
2017-12-24,2299,13054,5.44,517,283,3,71,1251,2017-12-24 10:48 PM,2017-12-25 7:44 AM,491,45,2,536
2017-12-25,1781,4401,1.83,662,222,0,0,608,2017-12-25 10:28 PM,2017-12-26 6:45 AM,455,42,3,497
2017-12-26,2149,11266,4.7,611,262,18,26,1053,2017-12-26 10:02 PM,2017-12-27 7:04 AM,519,23,2,542
2017-12-27,2183,13161,5.49,705,233,16,13,1043,2017-12-27 11:11 PM,2017-12-28 7:31 AM,468,31,2,500
2017-12-28,1879,7820,3.26,714,156,15,11,670,2017-12-28 10:26 PM,2017-12-29 7:45 AM,541,17,1,558
2017-12-29,3099,26982,13.36,574,225,15,119,2060,2017-12-29 11:17 PM,2017-12-30 8:27 AM,496,45,5,550
2017-12-30,1931,8255,3.44,599,147,10,44,739,2017-12-30 9:47 PM,2017-12-31 9:28 AM,656,45,3,701
2017-12-31,1985,8978,3.81,582,217,0,0,804,2018-01-01 2:24 AM,2018-01-01 9:35 AM,390,40,3,430
2018-01-01,1643,3131,1.31,766,136,0,0,395,2018-01-01 10:11 PM,2018-01-02 7:14 AM,504,29,2,542
2018-01-02,1993,9868,4.14,746,155,16,33,799,2018-01-02 11:04 PM,2018-01-03 7:16 AM,442,50,3,492
2018-01-03,2410,16335,7.64,651,203,10,54,1287,2018-01-03 10:34 PM,2018-01-04 7:18 AM,494,30,3,524
2018-01-04,2113,11873,4.95,662,161,30,54,963,2018-01-04 10:25 PM,2018-01-05 7:12 AM,502,25,1,527
2018-01-05,1989,9826,4.1,745,164,14,32,805,2018-01-05 11:07 PM,2018-01-06 7:56 AM,503,23,2,529
2018-01-06,1895,6254,2.61,593,281,0,0,790,2018-01-06 10:29 PM,2018-01-07 9:02 AM,619,12,2,633
2018-01-07,2699,21286,10.13,502,153,29,122,1615,2018-01-07 10:28 PM,2018-01-08 7:18 AM,508,22,2,530
2018-01-08,2068,11002,4.6,672,182,29,30,913,2018-01-08 10:30 PM,2018-01-09 7:20 AM,498,25,3,529
2018-01-09,1975,9618,4.01,712,173,17,16,786,2018-01-09 10:38 PM,2018-01-10 7:06 AM,484,24,1,508
2018-01-10,2013,9891,4.12,735,189,21,25,851,2018-01-10 11:15 PM,2018-01-11 7:22 AM,462,25,2,487
2018-01-11,2166,12953,5.43,681,169,32,61,1032,2018-01-11 11:04 PM,2018-01-12 5:23 AM,377,2,0,379
2018-01-12,1945,8719,3.64,911,161,18,27,750,2018-01-13 12:53 AM,2018-01-13 8:50 AM,426,50,3,476
2018-01-13,2167,11223,5.07,634,238,17,34,1059,2018-01-13 11:19 PM,2018-01-14 7:41 AM,473,29,2,502
2018-01-14,3690,36640,18.07,492,280,18,189,2767,2018-01-15 1:03 AM,2018-01-15 8:44 AM,417,44,3,461
2018-01-15,2068,10601,4.42,718,198,33,30,926,2018-01-16 12:00 AM,2018-01-16 10:10 AM,550,60,1,610
2018-01-16,1877,6830,2.85,611,209,3,7,700,2018-01-17 2:49 AM,2018-01-17 9:37 AM,369,39,3,408
2018-01-17,1833,5809,2.42,701,219,8,0,668,2018-01-17 10:15 PM,2018-01-18 7:14 AM,516,23,1,539
2018-01-18,1951,9250,3.86,803,130,12,43,744,2018-01-18 11:41 PM,2018-01-19 7:52 AM,455,29,4,491
2018-01-19,2031,10465,4.39,710,184,12,27,865,2018-01-19 11:25 PM,2018-01-20 8:48 AM,527,36,2,563
2018-01-20,2217,12024,5.4,449,257,16,43,1145,2018-01-20 9:32 PM,2018-01-21 5:36 AM,461,21,1,484
2018-01-21,3537,34121,17.22,573,190,12,188,2528,2018-01-21 9:38 PM,2018-01-22 7:28 AM,555,35,2,590
2018-01-22,1883,8043,3.35,722,134,20,26,674,2018-01-22 10:30 PM,2018-01-23 7:00 AM,465,44,2,510
2018-01-23,1955,9693,4.04,690,109,33,46,752,2018-01-23 9:38 PM,2018-01-24 6:56 AM,515,43,3,558
2018-01-24,1849,7167,2.99,731,162,8,8,634,2018-01-24 10:04 PM,2018-01-25 6:48 AM,503,21,2,524
2018-01-25,2186,13523,5.7,701,157,30,62,1045,2018-01-25 10:38 PM,2018-01-26 7:16 AM,498,17,1,518
2018-01-26,2089,12154,5.08,662,139,29,47,915,2018-01-26 9:53 PM,2018-01-27 6:33 AM,506,14,0,520
2018-01-27,2911,24672,11.81,709,193,20,125,1850,2018-01-28 1:55 AM,2018-01-28 8:27 AM,372,20,1,392
2018-01-28,1742,4965,2.07,621,140,4,21,528,2018-01-28 9:30 PM,2018-01-29 6:44 AM,518,28,4,554
2018-01-29,1966,9576,3.99,743,150,23,28,777,2018-01-29 10:28 PM,2018-01-30 7:00 AM,492,18,1,512
2018-01-30,1828,7123,2.97,731,144,7,16,612,2018-01-30 9:58 PM,2018-01-31 7:03 AM,536,9,0,545
2018-01-31,2372,16217,7.47,639,158,24,70,1231,2018-01-31 9:53 PM,2018-02-01 6:08 AM,471,24,0,495
